date,precipitation_sum_mm,rain_sum_mm,precipitation_hours
2024-08-25,1.4,1.4,8.0
2024-08-26,0.2,0.2,1.0
2024-08-27,0.1,0.1,1.0
2024-08-28,1.5,1.5,3.0
2024-08-29,1.4,1.4,5.0
2024-08-30,45.2,45.2,23.0
2024-08-31,186.0,186.0,24.0
2024-09-01,93.6,93.6,19.0
2024-09-02,0.1,0.1,1.0
2024-09-03,46.0,46.0,13.0
2024-09-04,18.6,18.6,16.0
2024-09-05,7.9,7.9,14.0
2024-09-06,11.4,11.4,13.0
2024-09-07,24.7,24.7,12.0
2024-09-08,31.0,31.0,24.0
2024-09-09,16.7,16.7,17.0
2024-09-10,0.0,0.0,0.0
2024-09-11,0.0,0.0,0.0
2024-09-12,0.0,0.0,0.0
2024-09-13,0.0,0.0,0.0
2024-09-14,0.0,0.0,0.0
2024-09-15,0.0,0.0,0.0
